id,algo,strategy,run_id,start_mode,best_fitness,final_cash,test_final_cash,epoch_count,runtime_ms,early_stopped,best_params,hyperparams
1578,aos,ema_shared,18,random,-55863.7283854752,55863.7283854752,2807.15752682413,51,5980.30101899894,False,"{""short_window"": 32.07753180592811, ""long_window"": 51.0, ""alpha"": 0.7381491889452056}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1579,aos,ema_shared,19,random,-79542.727395829,79542.727395829,1000,51,6006.95952500064,False,"{""short_window"": 34.14771051962233, ""long_window"": 160.87302222966355, ""alpha"": 0.7187406665616833}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1580,aos,ema_shared,20,random,-48506.6463156144,48506.6463156144,4771.80224223217,51,5872.34052500025,False,"{""short_window"": 43.04493818533855, ""long_window"": 87.9085176798498, ""alpha"": 0.799152324325055}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1581,aos,ema_shared,22,random,-75700.4612710909,75700.4612710909,4389.38271910608,51,5915.16527299973,False,"{""short_window"": 50.0, ""long_window"": 81.20757013357158, ""alpha"": 0.5879423920229412}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1582,aos,ema_shared,21,random,-38920.8211716255,38920.8211716255,3612.07334224935,51,5949.44454899996,False,"{""short_window"": 47.709034205905056, ""long_window"": 114.55558528112257, ""alpha"": 0.8364236486749788}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1583,aos,ema_shared,23,random,-60560.6494477861,60560.6494477861,676.856040840688,51,5982.57605899926,False,"{""short_window"": 27.07600502595001, ""long_window"": 147.55545298695677, ""alpha"": 0.8579459488353991}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1584,aos,ema_shared,24,random,-36296.9122619768,36296.9122619768,772.223209226485,51,5951.30007599983,False,"{""short_window"": 50.0, ""long_window"": 92.05940905825167, ""alpha"": 0.4875029188531073}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1585,aos,ema_shared,25,random,-53162.0665362753,53162.0665362753,7860.38107777157,51,6021.59539000058,False,"{""short_window"": 27.781048930957528, ""long_window"": 150.67525738581034, ""alpha"": 0.9987455804132298}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1586,aos,ema_shared,26,random,-57587.2836923214,57587.2836923214,2977.25057569296,51,6015.50068200049,False,"{""short_window"": 41.904592786663, ""long_window"": 129.29579870982104, ""alpha"": 0.6787468316934299}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1587,aos,ema_shared,27,random,-35599.8617000434,35599.8617000434,3514.41094684994,51,5999.971276,True,"{""short_window"": 48.272698083621286, ""long_window"": 156.57983371400903, ""alpha"": 0.5309317931775194}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1588,aos,ema_shared,28,random,-42243.5728147928,42243.5728147928,620.26101001269,51,5982.11603599884,False,"{""short_window"": 37.38320096834258, ""long_window"": 198.29872747075737, ""alpha"": 0.7880924904504818}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1589,aos,ema_shared,29,random,-52841.9701227178,52841.9701227178,1000,51,5946.25810999969,False,"{""short_window"": 43.16879283572635, ""long_window"": 191.54937885549612, ""alpha"": 0.8459753394584227}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1590,aos,ema_independent,0,random,-7413.40594817822,7413.40594817822,4436.6200903308,51,7050.59518999951,False,"{""short_window"": 47.16818987844443, ""long_window"": 127.70469441663901, ""alpha_short"": 1e-06, ""alpha_long"": 0.09930410975291015}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1591,aos,ema_independent,1,random,-7387.99192102109,7387.99192102109,7041.99365353354,51,6911.75645600015,False,"{""short_window"": 42.64771705464644, ""long_window"": 55.28791786354757, ""alpha_short"": 1e-06, ""alpha_long"": 0.06788572783845907}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1592,aos,ema_independent,2,random,-7926.04708260191,7926.04708260191,4140.9396678547,51,7007.06106600046,False,"{""short_window"": 46.91813866631157, ""long_window"": 80.47801269090354, ""alpha_short"": 1e-06, ""alpha_long"": 0.18895475448253898}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1593,aos,ema_independent,4,random,-8964.51080008181,8964.51080008181,4067.65008345194,51,6900.48834300069,False,"{""short_window"": 47.40324441751507, ""long_window"": 78.05300114186151, ""alpha_short"": 1e-06, ""alpha_long"": 0.13947752345109884}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1594,aos,ema_independent,3,random,-5775.18719017725,5775.18719017725,5232.25896622984,51,7017.33995299946,False,"{""short_window"": 33.83540282165709, ""long_window"": 98.76949040602457, ""alpha_short"": 1e-06, ""alpha_long"": 0.11936833722080492}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1595,aos,ema_independent,5,random,-7783.7471814049,7783.7471814049,4131.12668106545,51,6980.00788600075,False,"{""short_window"": 50.0, ""long_window"": 197.50340839447355, ""alpha_short"": 0.03906563401094923, ""alpha_long"": 0.06083423069900805}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1596,aos,ema_independent,6,random,-9476.59657903653,9476.59657903653,4228.37563852344,51,7037.64368600059,False,"{""short_window"": 47.75492030376547, ""long_window"": 161.8540623300788, ""alpha_short"": 1e-06, ""alpha_long"": 0.12530018350143957}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1597,aos,ema_independent,7,random,-6239.99040381994,6239.99040381994,3886.86492644265,51,7052.04754999977,False,"{""short_window"": 50.0, ""long_window"": 129.8362484383128, ""alpha_short"": 1e-06, ""alpha_long"": 0.15284767335197375}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1598,aos,ema_independent,8,random,-8156.41353526567,8156.41353526567,4526.98018595414,51,6954.3546670011,False,"{""short_window"": 48.491597363569014, ""long_window"": 51.0, ""alpha_short"": 1e-06, ""alpha_long"": 0.1515874808669962}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1599,aos,ema_independent,9,random,-6032.49154649414,6032.49154649414,4106.1649680049,51,7018.49389900053,False,"{""short_window"": 45.72499187395209, ""long_window"": 165.39399848036484, ""alpha_short"": 1e-06, ""alpha_long"": 0.2568911221758392}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1600,aos,ema_independent,10,random,-6923.07179208342,6923.07179208342,3873.80428971261,51,6973.84198500004,False,"{""short_window"": 48.20681903464248, ""long_window"": 121.23700534887573, ""alpha_short"": 1e-06, ""alpha_long"": 0.10880190347268259}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1601,aos,ema_independent,11,random,-6328.70998934855,6328.70998934855,5000.28352159683,51,7060.06918000094,False,"{""short_window"": 39.26110708431794, ""long_window"": 200.0, ""alpha_short"": 1e-06, ""alpha_long"": 0.18630249361556483}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1602,aos,ema_independent,12,random,-5789.51206794341,5789.51206794341,4635.41091244128,51,7005.20006399893,False,"{""short_window"": 50.0, ""long_window"": 79.33105455651146, ""alpha_short"": 0.07986913536068463, ""alpha_long"": 0.11581202121518372}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
